Parameter,Count
otherSales,1
commercialRevenue,1
month,13
otherPrice,1
residentialCustomers,1
residentialRevenue,1
commercialPrice,2
residentialPrice,2
commercialCustomers,1
dataStatus,2
commercialSales,1
totalRevenue,1
transportationSales,1
totalSales,2
industrialSales,1
otherRevenue,1
ABBREV_NAM,11
ALT_ADDRES,10
ctf,9
lgid,11
lastupdate,11
source,12
MAIL_CITY,10
MAIL_ZIP,10
LGSTATUS_I,11
PREV_NAME,11
NAME,44
MAIL_STATE,10
MAIL_ADDRE,10
LGTYPE_ID,11
geoFips,1
msa_name,1
blankKey,1
thousandsDollars,1
industry,4
mt_60_pl,6
mv500k_750,6
med_fam_in,83
mblack_nh,6
car_all,83
no_bdrms,6
mowned,6
r1000t1249,83
housing_un,83
age35_44,6
brn_oth_st,83
mv50k_100k,6
v500k_750k,83
mmed_age,6
same_state,83
gr_5_8,83
mv400k_500,6
v_l_50k,83
age_20_29,6
mpop25plus,6
mageless18,6
mrntl400,6
age65plus,6
pvrty_un,6
med_hm_val,83
menrolled,6
mage_0_9,6
mmed_g_ren,6
age_30_39,6
wrk_home,83
owned,83
b1980_1989,83
mb1990_199,6
mt_20_29,6
med_c_rent,83
mage_60_69,6
rntl400,83
mcitz_nat,6
mv_1m_plus,6
male,83
mmed_hh_in,6
age_50_59,6
rnt_occ_hu,83
v750k_1m,83
mborn_in_c,6
mntv_b_o_u,6
other_nh,83
msame_stat,6
bedrm_4,6
mbrn_oth_s,6
same_house,83
mforeign_b,6
mr800t999,6
mcar_all,6
mgr_5_8,6
b1960_1969,83
mage_20_29,6
age25_34,6
nohsdipl,83
ageless10,6
black_nh,83
mocc_hu,6
mbedrm_5_p,6
geonum,61
pop25plus,83
mdiff_stat,6
mpt_other,6
t_60_pl,83
mcitz_birt,6
r400t599,65
mnohsdipl,6
mper_cap_i,6
mhispanic,6
mown_occ_h,6
pop1519,2
mv750k_1m,6
v400k_500k,83
b1940_1949,83
rnocshr,83
grad_prof,83
mhawpi_nh,6
walk,83
born_in_co,83
kndrgrtn,83
v50k_100k,83
occ_hu,83
per_cap_in,83
mage_70_79,6
mbedrm_3,6
mpop_1p,6
age_60_69,6
mv200k_250,6
mr1500t199,6
mb1960_196,6
t_30_39,83
mv300k_400,6
b1970_1979,83
mwhite_nh,6
mage25_34,6
mmed_yr_bl,6
mwrkrs_16p,6
mbedrm_1,6
bedrm_1,6
GEOID,24
r1250t1499,83
mageless10,6
b1939_e,83
undergrad,83
not_citz,83
mage35_44,6
t_10_19,83
mb1940_194,6
tr_other,83
masian_nh,6
mwrk_home,6
NAMELSAD,16
rented,83
v300k_400k,83
enrolled,83
car_alone,83
age_40_49,6
bedrm_2,6
mrnocshr,6
age18_24,83
blt_2000_p,6
mother_nh,6
mb1939_e,6
age_10_19,6
mb1970_197,6
v100k_150k,83
bedrm_3,6
hsgrad_sc,83
same_cnty,83
r800t999,83
v150k_200k,83
mv250k_300,6
mcar_alone,6
med_g_rent,83
t_20_29,83
mpop1519,2
pt_other,83
r2000pl,83
age_0_9,6
b1950_1959,83
v200k_250k,83
mtwoplus_n,6
ntv_b_o_us,83
gr_9_12,83
mage18_24,6
mgr_9_12,6
mmed_hm_va,6
mno_bdrms,6
pop_1p,83
mage_30_39,6
msame_cnty,6
mrnt_occ_h,6
geostr,3
t_less_10,83
pt_bus,83
mbike,6
v250k_300k,83
v_1m_plus,83
mv100k_150,6
r1500t1999,83
female,83
ageless18,83
public_trn,83
t_40_59,83
n_enrolled,83
mage65plus,6
mage_50_59,6
foreign_b,83
mkndrgrtn,6
mrented,6
mmale,6
mvac_hu,6
mpublic_tr,6
mundergrad,6
mv150k_200,6
preschool,83
mpvrty_un,6
wrkrs_16pl,83
mt_40_59,6
gr_1_4,83
mblt_2000_,6
mn_enrolle,6
mb1950_195,6
mr400t599,6
Shape_Area,31
TRACTCE,8
mbedrm_4,6
mnot_citz,6
mt_30_39,6
mwalk,6
citz_birth,83
age_70_79,6
age45_64,6
Shape_Leng,37
ntvam_nh,83
age_80_pl,6
mage_80_pl,6
mr2000pl,6
mfemale,6
med_hh_inc,83
bedrm_5_pl,6
msame_hous,6
b1990_1999,83
med_age,83
mage45_64,6
mcar_carpo,6
min_povert,6
mr600t799,6
mpop_3pl,6
mfrm_abroa,6
vac_hu,83
mtr_other,6
mgrad_prof,6
mhousing_u,6
white_nh,83
mv_l_50k,6
mw_16pl_nh,6
diff_state,83
med_yr_blt,83
mt_less_10,6
mmed_fam_i,6
asian_nh,83
pop_3pl,83
in_poverty,6
mr1000t124,6
mr1250t149,6
own_occ_hu,83
mpt_bus,6
mbedrm_2,6
r600t799,65
bike,83
mgr_1_4,6
bachl_hghr,83
mage_40_49,6
mmed_c_ren,6
mntvam_nh,6
mt_10_19,6
hawpi_nh,83
twoplus_nh,83
mbachl_hgh,6
w_16pl_nh,83
mhsgrad_sc,6
mpreschool,6
frm_abroad,83
mage_10_19,6
car_carpoo,83
citz_nat,83
hispanic,83
mb1980_198,6
COUNTYFP,11
businessName,2
lastName,8
charityName,4
officerInBusiness,1
firstName,8
solicitationNoticeId,5
officerTitle,1
principalAddress,4
principalZipCode,4
isSubcontractor,1
principalCity,5
solicitorName,5
otherNamesOfOrganization,1
snId,5
middleName,8
principalState,5
Year,56
Belowground Biomass,1
Dead Wood,1
Litter,1
Aboveground Biomass,1
Soil Organic Carbon,1
Total ,1
GasFieldCode,1
Company Name,1
County Name,7
Month,8
ReportState,1
Field Type,1
WorkingGasCapacity(Mcf),1
Field Name,1
Reservoir Name,1
TotalFieldCapacity(Mcf),1
MaximumDailyDelivery(Mcf),1
Status,14
AGA Region,1
ReservoirCode,1
RLF_YN,1
LOC_CODE,8
YEAR_BUILT,4
LOCATION,7
ASSET_CLAS,5
INFOR_ASSE,5
GIS_ASSET_,5
CLASS_CATE,5
expirationDate,3
licenseStatus,2
companyName,1
licenseType,4
licenseNumber,5
geo,4
doingBusinessAs,2
City,24
Expiration,2
licenseNum,1
licenseeName,2
Zip,9
State,14
geocoded address,1
address,4
turning__5,1
PPB_Calc,1
runslope_c,1
rampwidth1,1
gis_inspec,1
ppb_req,1
dws_depth,1
variance_d,1
constraine,1
turning__3,1
xslope1,1
grade_br_1,1
ramp_lengt,1
center_slo,1
GIS_X,1
turning__6,1
route_prim,1
surface_fl,1
project_ty,1
par_ramp_c,1
stop_yield,1
runslope2,1
mid_block,1
xslope_cal,1
ppb_2ppb_c,1
ppb_mounti,1
is_protect,1
flare_sl_2,1
turning__1,1
horiz_gap,1
left_flare,1
GIS_Y,1
proj_numbe,1
ramp_photo,1
clear_spac,1
runslope3,1
road_ped_x,1
flare_sl_1,1
Location,27
runslope1,1
dws_presen,1
route_seco,1
dws_width,1
ramp_width,1
road_ped_1,1
ppb_aps,1
turning__8,1
ped_signal,1
ppb_distan,1
turning__4,1
curb_ram_1,1
runslope4,1
is_prote_1,1
ppb_locati,1
stop_yie_1,1
obstruct_1,1
rampleng_1,1
fatpc_calc,1
ppb_landin,1
flare_slop,1
ramplength,1
turning__7,1
grade_brea,1
ppb_access,1
turning_sp,1
ppb_side_r,1
clear_sp_1,1
rampwidth2,1
counter_sl,1
right_flar,1
flare_sl_3,1
obstructio,1
prowag_cal,1
ppb_orient,1
curb_ramp1,1
curb_ramp_,1
ramp_apex,1
ppb_button,1
InspDate,1
dws_calc,1
grade_flus,1
counter__1,1
horiz_gap_,1
xslope2,1
turning__2,1
Region,5
dws_contra,1
curbrampla,1
CoordsNS,7
DIV,16
Range,12
User Association,1
Location (zip),25
Q40,11
Structure Name,2
CoordsNS Dir,6
More Information,16
UTM y,11
PM,12
Q10,8
Location Accuracy,13
Designated Basin,5
Longitude,10
POR Start,3
Structure Name AKAs,1
Management District,5
GNIS ID,3
Associated Meters,1
CoordsEW,7
UTM x,12
WD,14
Location (address),25
Associated Case Numbers,3
Associated Permits,1
Location (state),25
Modified,8
WDID,10
Stream Mile,3
Location (city),25
Contacts,1
CIU Code,1
Water Source,5
Latitude,10
CoordsEW Dir,6
Structure Type,3
Section,12
Q160,12
POR End,3
Township,12
mailingState,6
agentPrincipalAddress1,1
agentPrincipalZipCode,1
agentSuffix,1
mailingCity,6
principalAddress2,2
agentPrincipalCity,1
agentMailingState,1
entityStatus,3
agentMailingCity,1
mailingAddress1,2
entityType,3
principalAddress1,1
agentPrincipalCountry,1
agentMailingZipCode,1
mailingZipCode,5
entityId,12
entityName,4
jurisdictonOfFormation,1
principalCountry,2
agentMiddleName,1
agentOrganizationName,1
agentMailingAddress1,1
entityFormDate,3
agentPrincipalAddress2,1
agentMailingCountry,1
agentLastName,1
agentFirstName,1
mailingAddress2,3
agentPrincipalState,1
mailingCountry,3
agentMailingAddress2,1
AgeGroup,2
LawCategory,1
NumberOfCases,2
CY,1
Cascls,1
District,16
LawClass,1
FIPS Code,1
County Seat,1
FIPS State and County Code,1
Established,1
FType,2
WBAreaComI,2
GNIS_ID,3
GNIS_Name,2
Phase,4
FDate,2
FCode,2
Resolution,3
LengthKM,2
ReachCode,2
ComID,2
Enabled,2
FlowDir,2
STATE,35
Company,1
ZONETYPE,4
ZONE_CODE,3
ZONE,1
PCT_65PLUS,19
BLACK_NH,39
OWNER,21
GQ_CORREC,19
V_OTHER,19
HH_ALONE,19
PCT_OTHER,19
PCT_BLACK,19
V_SEASONAL,19
OTHER_NH,39
GQ_NONINST,19
MALE,39
AMERIND_NH,19
PCT_AMIND,19
HH_N_NONR,19
PCT_RENT,19
HAWPAC_NH,19
GQ_POP,19
AWATER00,15
NAME00,10
ALAND00,15
AGE65PLUS,39
V_FORRENT,19
GQ_NURS,19
PCT_MALE,26
POP2000,8
PCT_HISP,19
HISPANIC,39
PCT_ASIAN,19
PCT_MULT,19
NAMESF1,8
MED_MALE,19
RENTER,19
HOUSING_UN,32
V_FORSALE,19
PCT_WHITE,19
PCT_VAC,19
MULT_NH,19
AVG_HH,19
V_RS_N_OCC,8
GQ_OT_INST,19
VACANT,19
FEMALE,39
MED_AGE,32
GQ_O_NONI,19
HUSB_WIFE,19
NON_FAM,19
GQ_COLLEGE,19
HH_W_NONR,19
GQ_MILTRY,19
V_MIGRANT,19
AGEUNDER18,19
PCT_FEM,19
FAMILY_HH,19
COUSUB,5
PCT_U18,19
GQ_INST,19
PCT_OWN,19
OTH_FAMILY,19
OCCUPIED,19
ASIAN_NH,39
WHITE_NH,39
AVG_FAM,19
PCT_U10,19
HOUSEHOLDS,32
PCT_OCC,19
AGEUNDER10,19
PCT_HAWPI,19
MED_FEMALE,19
ZONING_CLA,1
SUBNAME,6
Shape_len,4
CASE_NUMBE,1
DATEMODIFI,1
Shape_area,2
RECEPTION_,5
DATECREATE,1
ADDRESS,8
STATUS,5
OID_,1
PUD_Name,1
EFFECTIVE_,1
PUD_Name_1,1
ZONING_NM,1
CONDONAME,3
ZIPCODE,6
ZONING_C_1,1
CASE_NUM_1,1
ADDRESS1,3
FID_Resour,1
FID_Zoning,1
ADDRESS2,3
Fixed,1
EFFECTIVE1,1
RECEPTION1,1
PARCEL_NUM,2
healthcare,1
agriculture,1
clothing,1
information,1
realestate,1
education,1
professionaltechnical,1
financialinsurance,1
county,18
otherservices,1
allindustries,1
foodbeverage,1
electappl,1
manufacturing,1
artsentertainment,1
mining,1
utilities,1
construction,1
foodservices,1
miscstores,1
lodging,1
sportshobbies,1
fips,1
nonstore,1
bldgnursery,1
transwrhse,1
wholesale,1
government,1
furniture,1
genmerchandise,1
retailtrades,1
mvparts,1
health,1
gasstations,1
adsuppwstmngmremserv,1
DNI,2
area,11
incsrcdesc,1
incdesc,1
areaname,9
incrank,1
income,1
incsource,1
period,7
stateabbrv,8
statename,9
population,2
pertypdesc,6
stfips,8
periodyear,6
inctype,1
areatyname,8
releasedate,2
periodtype,8
areatype,7
policeDistrict,2
subType,1
count,3
type,8
department,3
energyUsage,3
buildingName,3
energyType,3
Renewal Status,1
License Status,3
FA Zip Code,1
FA City,1
License Type,6
Parcel Number,5
License #,4
Record Type,1
Renewal,1
Expiration Date,4
Renewal Created,1
laborforce,78
adjusted,2
benchmark,2
emplab,1
unemp,78
unemprate,1
prelim,3
2012 Total Count,10
Grade Level,13
2013 Part Prof Count,4
2012 Part Prof Count,8
School No. ,8
2012 % Proficient,10
2013 % Proficient,5
2013 % Prof & Adv,4
2013 % No Score,5
2013 % Part Prof,4
2013 Proficient Count,5
2012 % Advanced,10
2013 % Unsat,4
2013 % Advanced,5
% Free and Reduced Lunch (school level only),1
2013 Unsat Count,4
District No,8
2012 Advanced Count,10
2012 % Prof & Adv,8
District ,2
2012 % No Score,10
2012 Proficient Count,10
2013 Total Count,5
2012 No Score Count,10
2013 Advanced Count,5
2012 % Unsat,8
2013 No Score Count,5
2012 % Part Prof,8
2012 Unsat Count,8
LOGRADE10,1
POP2010,11
GQ_JUVENL,11
INTPTLON,23
INTPTLAT,23
V_S_NOTOCC,11
V_R_NOTOCC,11
HIGRADE10,1
AREAWATR,10
SDUNI,3
NAME10,18
GEOSD,1
AREALAND,10
PARCELNUM,1
SITUS_STR1,1
SCHEDNUM,1
SITUS_AD_3,1
COM_ORIG_Y,1
TAXABLE_AM,1
TOT_UNITS,1
SITUS_AD_2,1
SITUS_ST_1,1
LAND_AREA,1
SALE_YEAR,1
SITUS_ZIP,1
SITUS_Y_CO,1
EXEMPT_AMT,1
COM_STRUCT,1
APPRAISED1,1
COM_NET_AR,1
SITUS_ST_4,1
SITUS_STAT,1
PROP_CLASS,1
BLKNUM,1
RES_ABOVE_,1
SITUS_AD_1,1
COM_GROSS_,1
SITUS_STR_,1
SITUS_ADDR,1
SITUS_UNIT,1
OWNER_STAT,1
SITUS_ST_3,1
LEGAL_DESC,1
SITUS_CITY,1
ASAL_INSTR,1
SALE_PRICE,1
PARCEL_SOU,1
APPRAISE_1,1
ASSESSED_T,1
ZONE_10,1
SITUS_UN_1,1
SITUS_ST_5,1
OWNER_AD_1,1
APPENDAGE,1
SALE_DATE,1
SALE_MONTH,1
D_CLASS_CN,1
OWNER_ZIP,1
OWNER_CITY,1
DCL12,1
SITUS_AD_4,1
APPRAISED_,1
ASSESSED_I,1
SYSTEM_STA,1
TAX_DIST,1
ASSESSED_L,1
RES_ORIG_Y,1
ZONE_ID,1
SITUS_ST_2,1
MAPNUM,1
D_CLASS,1
SITUS_X_CO,1
Desciption,5
Phone ,5
Application Date,6
Planner,5
Completion Date,6
Email,7
CaseType,5
ApplicationYear,5
Case ID,5
Active Voters,11
Total Voters,9
Election Type,18
Precinct,11
Ballots Cast,11
Total Voters Turnout %,9
Inactive Voters,9
02a,1
07b,1
09b,1
12b,1
category,1
st,1
05a,1
14a,1
siteAddress,2
14d,1
01d,1
07c,1
activityDate,1
02f,1
12d,1
08a,1
14g,1
04c,1
11a,1
pe,1
13a,1
11c,1
numberOfFbiCritical,1
I0b,1
02b,1
08c,1
programIdentifier,1
09a,1
totalCritical,1
01e,1
03a,1
02c,1
03f,1
01c,1
agency,3
01f,1
03d,1
15b,1
06b,1
14c,1
02d,1
15a,1
04b,1
03e,1
14b,1
14e,1
03c,1
14h,1
facilityId,2
10a,1
05b,1
serialNumber,1
14f,1
11b,1
12a,1
13c,1
01a,1
serviceDesc,1
08b,1
02g,1
06c,1
01b,1
totalNonCritical,1
recordId,2
13b,1
03b,1
peDesc,1
06a,1
02e,1
04a,1
05c,1
14i,1
03g,1
05d,1
07a,1
10c,1
12c,1
averageVacancy,3
subRegion,6
buildingAge,2
quarter,11
pen_class,1
pen_power_,1
pen_head_f,1
Occupation,1
Occupation Code,1
Mean Wage,1
Employment,1
AMENDMENT,1
UPDATEDATE,1
SUBMJRNAME,1
SHAPE_LEN,4
RECEPTNUM,1
NUMSCANS,1
PARENT,1
SHAPE_AREA,4
FILING,1
CONVEYAN00,1
MUNICIPALI,1
CONVEYANCE,1
SUBNUM,1
hhi60_75,77
age65_69,77
age35_39,77
hhi150_200,77
ps_below,77
tot_l18,77
age25_29,77
age5_9,77
civ_ni_p,52
pov_65pl,77
hhi75_100,77
pov_l18,77
hhldr_naln,77
armedfrcs,77
r400T599,18
hhi50_60,77
ps_bel150,77
age75_79,77
age55_59,77
hhi125_150,77
hhi100_125,77
hhldralone,77
nonfamhh,77
con_dist,7
hhi200_pl,77
age85pl,77
r600T799,18
civ_lf,77
age60_64,77
pop,77
households,77
hhi20_30,77
age30_34,77
age40_44,77
civ_ni_pop,77
not_lf,77
age70_74,77
age80_84,77
hhi_l20k,77
disabled,77
hhi30_40,77
puni_65pl,77
b2000_2009,77
age20_24,77
blt_2010_p,77
pop16_pls,77
familyhh,77
avghhsize,77
age45_49,77
age10_14,77
age15_19,77
hhi40_50,77
age50_54,77
ageless5,77
ps_uni,77
pending,1
DWR Abbrev,2
USGS Station ID,2
Station Name,2
UTM X,1
Data Source,4
UTM Y,1
LSAD10,1
GEOCBSA,1
NAMELSAD10,6
CBSA,3
Yr_Range,1
PROJ_NO,1
Rec_YR,1
Cov_Recep,1
Shape_STAr,5
file_name,1
AREANAME,1
PLAT,1
date,11
Surface Area,2
Latdecdeg,4
Purposes,1
Crest Elevation,1
Outlet Capacity,1
EAP Inundation Map,1
Physical Status,2
Overall Conditions,1
EAP Date,1
Longdecdeg,4
Federal Regulations,1
Stream,3
DAMID,3
Dam Height,3
Downstream Town,1
Federal Land,1
Safe Storage,1
Outlet Description,2
Year Completed,1
Dam Length,2
Primary Contact,3
Dam Name,3
Other Dam Names,2
Primary Name,3
Drainage Area,3
Spillway Capacity,1
Assigned To,2
Inundation Map Date,1
Town Distance,1
Last Inspection Date,2
EAP,1
Current Restrictions,1
NID ID,1
Normal Storage,2
Outlet Inspection,1
Inspector,1
Hazard Class,1
Dam Type,1
zip_code,10
Turnout,3
TRAIL_NAME,2
PRIMARY_US,1
REACH,1
LENGTH_MIL,2
WIDTH_FT,1
JURISDICTI,1
ACCESSIBIL,1
NOTES,10
ASSET_COND,1
FCA_DATE,1
SURFACE_TY,3
TYPE_CLASS,1
PATH_TYPE,1
electricPowerConsumersPrice,1
residentialFromCO,1
cityGatePrice,1
commercialFromCO,1
industrialFromCO,1
civ_ni_,25
geoname,55
totalCustomerPhotovoltaic,1
transportationCapacityPhotovoltaic,1
transportationSoldBackPhotovoltaic,1
residentialSoldBackPhotovoltaic,1
industrialStorageCapacityPhotovoltaic,1
commercialCapacityOther,1
transportationStorageCapacityPhotovoltaic,1
residentialPairedInstallations,1
commercialPairedBattery,1
commercialNotPairedInstallations,1
industrialSoldBackOther,1
residentialCapacityWind,1
totalSoldBackWind,1
residentialStorageCapacityPhotovoltaic,1
transportationSoldBackAll,1
residentialPairedEnergy,1
commercialCustomerWind,1
industrialPairedInstallations,1
residentialVirtualCustomerPhotovoltaic,1
industrialPairedBattery,1
industrialCapacityAll,1
residentialNotPairedBattery,1
transportationVirtualCapacityPhotovoltaic,1
commercialStorageCustomerPhotovoltaic,1
commercialSoldBackPhotovoltaic,1
totalCustomerWind,1
residentialCapacityOther,1
totalNotPairedEnergy,1
transportationPairedInstallations,1
transportationVirtualCustomerPhotovoltaic,1
totalNotPairedBattery,1
totalNotPairedInstallations,1
residentialCapacityAll,1
transportationNotPairedEnergy,1
commercialNotPairedBattery,1
commercialCapacityWind,1
industrialCustomerPhotovoltaic,1
totalSoldBackOther,1
commercialCustomerAll,1
commercialVirtualCustomerPhotovoltaic,1
industrialCapacityOther,1
industrialNotPairedBattery,1
residentialCustomerOther,1
industrialCapacityWind,1
totalCapacityPhotovoltaic,1
totalCapacityAll,1
transportationPairedBattery,1
industrialCustomerOther,1
transportationCustomerOther,1
totalPairedBattery,1
transportationSoldBackOther,1
residentialCustomerWind,1
industrialNotPairedEnergy,1
utilityNumber,2
commercialSoldBackOther,1
totalCustomerAll,1
residentialCustomerAll,1
residentialStorageCustomerPhotovoltaic,1
transportationNotPairedBattery,1
industrialStorageCustomerPhotovoltaic,1
totalPairedInstallations,1
transportationPairedEnergy,1
residentialSoldBackOther,1
totalStorageCustomerPhotovoltaic,1
transportationCustomerWind,1
transportationCapacityWind,1
industrialCustomerAll,1
industrialSoldBackPhotovoltaic,1
residentialPairedBattery,1
transportationCapacityAll,1
commercialSoldBackAll,1
totalStorageCapacityPhotovoltaic,1
commercialCustomerOther,1
transportationSoldBackWind,1
totalCustomerOther,1
industrialCustomerWind,1
utilityName,2
commercialPairedEnergy,1
commercialNotPairedEnergy,1
industrialNotPairedInstallations,1
commercialPairedInstallations,1
residentialNotPairedEnergy,1
residentialSoldBackWind,1
totalCapacityOther,1
industrialPairedEnergy,1
residentialVirtualCapacityPhotovoltaic,1
industrialSoldBackAll,1
totalVirtualCustomerPhotovoltaic,1
commercialCapacityPhotovoltaic,1
commercialStorageCapacityPhotovoltaic,1
commercialCapacityAll,1
transportationCapacityOther,1
industrialSoldBackWind,1
industrialVirtualCustomerPhotovoltaic,1
residentialSoldBackAll,1
totalPairedEnergy,1
totalSoldBackPhotovoltaic,1
commercialSoldBackWind,1
totalSoldBackAll,1
commercialVirtualCapacityPhotovoltaic,1
totalCapacityWind,1
transportationNotPairedInstallations,1
residentialCapacityPhotovoltaic,1
transportationCustomerAll,1
residentialNotPairedInstallations,1
transportationStorageCustomerPhotovoltaic,1
totalVirtualCapacityPhotovoltaic,1
commercialCustomerPhotovoltaic,1
industrialCapacityPhotovoltaic,1
industrialVirtualCapacityPhotovoltaic,1
residentialCustomerPhotovoltaic,1
transportationCustomerPhotovoltaic,1
ADMINCLASS,13
HPMSID,12
TO_DESCR,5
LRSROUTE,15
FIPS,18
SEGMID,14
OPERATION,12
SURFNAME,5
PRIIRI,7
FUNCCLASSI,8
GOVLEVEL,13
CONGESTED,1
MAP_TEXT,1
FROM_DESCR,5
PRIPSI,6
CR_ID,1
FundID,12
PRISURFWD,6
COUNTSTATI,14
BUILTYR,12
SURF_TYPE,5
JURSPLIT,12
FORESTROUT,8
PRITHRULNW,5
GIS_ID,4
ROUTENAME,13
SEGMDIR,13
MAP_NUM,1
SPECIALSYS,13
URBAN,13
% Free and Reduced Lunch,7
2011 % No Score,6
2012 % Partially Proficient ,2
2012 Partially Proficient Count,2
School Number,5
2012 % Unsatisfactory,2
District Number,5
2011 % Advanced,6
2011 Advanced Count,6
2011 Unsatisfactory Count,2
2012 Unsatisfactory Count,2
School,10
2011 Proficient Count,6
2011 % Partially Proficient ,2
2011 Partially Proficient Count,2
2012 % Proficient & Advanced,2
2011 % Proficient,6
2011 No Score Count,6
Subject,5
2011 % Unsatisfactory,2
2011 Total Count,6
2011 % Proficient & Advanced,2
FY20_GHG_Metric_ Tons,1
FY19_GHG_Total,1
FY18_Number_of_Vehicles,1
FY17_Unleaded,1
FY15-21_Fuel_Reduction_GHG,1
FY17_Number_of_Vehicles,1
FY17_GHG_Total,1
FY21_GHG_Metric_ Tons,1
FY21_Total_Petroleum_ Gallons,1
FY15_GHG_Metric_ Tons,1
FY21_GHG_Total,1
FY19_Propane,1
FY17_Bio-Fuel,1
FY15_Ethanol,1
FY16_NG,1
FY15-21_Fuel_Reduction_inGallons_GHG-Metric-Ton,1
FY15-21_Fuel_Reduction_inGallons_GHG-kg,1
FY19_Diesel,1
FY21_NG,1
FY15_Diesel,1
FY19_NG,1
FY16_Unleaded,1
FY15_Unleaded,1
FY16_Total_Petroleum_ Gallons,1
FY16_GHG_Total,1
FY18_Petroleum_Gallons_perVehicle,1
FY21_Unleaded,1
FY15_GHG_Total,1
FY15-21_Fuel_Reduction_inGallons_perVehicle,1
FY16_Propane,1
FY17_Diesel,1
FY19_Total_Petroleum_ Gallons,1
FY20_Unleaded,1
FY20_Petroleum_Gallons_perVehicle,1
%Absolute Reduction,1
FY16_Number_of_Vehicles,1
FY17_Propane,1
FY21_Bio-Fuel,1
FY21_Propane,1
FY16_Diesel,1
FY17_NG,1
FY19_Number_of_Vehicles,1
FY20_Total_Petroleum_ Gallons,1
FY18_Ethanol,1
FY20_NG,1
FY16_Petroleum_Gallons_perVehicle,1
FY20_Propane,1
FY18_Total_Petroleum_ Gallons,1
FY19_Unleaded,1
FY15_Petroleum_Gallons_perVehicle,1
FY18_Bio-Fuel,1
FY18_GHG_Metric_ Tons,1
FY15_Total_Petroleum_ Gallons,1
FY20_GHG_Total,1
FY17_Ethanol,1
FY21_Ethanol,1
FY18_Propane,1
FY21_Petroleum_Gallons_perVehicle,1
FY20_Bio-Fuel,1
FY20__Ethanol,1
FY21_Diesel,1
FY18_Diesel,1
FY17_GHG_Metric_ Tons,1
FY16_GHG_Metric_ Tons,1
FY17_Petroleum_Gallons_perVehicle,1
FY18_Unleaded,1
FY21_Number_of_Vehicles,1
FY18_NG,1
FY20_Number_of_Vehicles,1
FY16_Ethanol,1
FY17_Total_Petroleum_ Gallons,1
FY18_GHG_Total,1
FY15_Bio-Fuel,1
FY19_Ethanol,1
FY19_Bio-Fuel,1
Agency,8
FY16_Bio-Fuel,1
FY19_GHG_Metric_ Tons,1
FY20_Diesel,1
FY15_NG,1
FY15-21_Fuel_Reduction_inGallons,1
FY19_Petroleum_Gallons_perVehicle,1
FY15_Number_of_Vehicles,1
FY15_Propane,1
My company is connected to organizations or associations designed to help businesses like mine.,1
Which elements of online/digital security are you currently implementing for the safety and health of your business? - Training employees on phishing emails and cyber security,1
number_of_locations,1
gender,5
"In general, I believe Colorado’s local and state government motives and intentions are good toward business owners like me.",1
There is destructive competition within my local community.,1
My company’s operations are efficient and can adjust rapidly (as needed).,1
LGTBQ_status,1
My company often uses and seeks new technology to connect with customers.,1
"In 2021, did your business introduce new or significantly improved company processes regarding administration and management activities?",1
My company is currently seeking additional funding (outside of current sources) to run my business.,1
number_of_contractors_1099,1
