name,description,category,base_url,organization,organization_contact
Census Zip Codes in Colorado 2022,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'zip codes', 'american community survey', 'location', 'geospatial', 'gis']",https://data.colorado.gov/resource/faeq-e4ay.json,,Colorado Information Marketplace
Census Congressional Districts in Colorado 2022,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'congressional districts', 'voting', 'gis']",https://data.colorado.gov/resource/mv36-8akr.json,,Colorado Information Marketplace
Census in Colorado 2021,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis']",https://data.colorado.gov/resource/g7iy-77kb.json,,Colorado Information Marketplace
Census Places in Colorado 2021,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/j4my-hqus.json,,Colorado Information Marketplace
Census Block Groups in Colorado 2021,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'covid19', 'colorado', 'census', 'acs', 'american community survey', 'counties', 'subdivisions', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis', '2018']",https://data.colorado.gov/resource/vu8q-m6ke.json,,Colorado Information Marketplace
Census Tracts in Colorado 2021,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'census tracts', 'tracts', 'gis']",https://data.colorado.gov/resource/wx4i-irvf.json,,Colorado Information Marketplace
Road Attributes in Colorado 2022,"Road attributes including number of lanes, surface type, roughness factor, etc. from the Colorado Department of Transportation (CDOT).","['cdot', 'bic', 'cdos', 'transportation', 'gocodecolorado', 'highways', 'roads', 'attributes', 'quality', 'transit', 'travel', 'colorado']",https://data.colorado.gov/resource/bs93-ddcs.json,,Colorado Information Marketplace
Construction Project Line Segments for Funded Roads in Colorado 2024,Line segments and associated project improvement codes and timelines for active construction projects on funded roads in Colorado through 2024 from the Colorado Department of Transportation (CDOT). Use this data with Construction Projects Endpoints for Funded Roads in Colorado.,"['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'lines', 'projects', 'roads', 'funded roads', 'construction', 'improvement', 'active projects', 'gis']",https://data.colorado.gov/resource/cz9m-379d.json,,Colorado Information Marketplace
Construction Projects Endpoints for Funded Roads 2024,Point locations of mileposts for start and end of road projects and associated improvement codes and timelines for active construction projects on funded roads in Colorado through 2024 from the Colorado Department of Transportation (CDOT). Use this data with Construction Projects Line Segments.,"['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'endpoints', 'funded roads', 'roads', 'mileposts', 'mile markers', 'construction', 'projects', 'improvement', 'active projects', 'gis']",https://data.colorado.gov/resource/2cwd-2w55.json,,Colorado Information Marketplace
Census Congressional Districts in Colorado 2021,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'congressional districts', 'voting', 'gis']",https://data.colorado.gov/resource/7khe-gvz9.json,,Colorado Information Marketplace
Census Counties in Colorado 2021,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/hnpa-qnhx.json,,Colorado Information Marketplace
Road Traffic Counts in Colorado 2022,Traffic counts on public roads under local jurisdiction in 2022. Provided by the CDOT.,"['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'roads', 'traffic', 'traffic counts', 'gis']",https://data.colorado.gov/resource/aibd-kt9t.json,,Colorado Information Marketplace
Highway Traffic Counts in Colorado 2022,"Traffic counts on highways and various calculations, from Colorado Department of Transportation (CDOT), for 2022.","['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'highways', 'traffic', 'traffic counts', 'roads', 'gis']",https://data.colorado.gov/resource/u2hn-4r65.json,,Colorado Information Marketplace
Census Zip Codes in Colorado 2021,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'zip codes', 'american community survey', 'location', 'geospatial', 'gis']",https://data.colorado.gov/resource/jq6r-yr82.json,,Colorado Information Marketplace
Testing,,[],https://data.colorado.gov/resource/kqzp-exzm.json,,Colorado Information Marketplace
Road Surface Treatment Projects in Colorado 2024,"Road surface treatment planned (estimated) from 2024 through 2027 on highways in Colorado, from the Colorado Department of Transportation (CDOT).","['bic', 'gocodecolorado', 'colorado', 'cdot', 'colorado department of transportation', 'transportation', 'roads', 'surface', 'treatment', 'construction', 'projects', 'maintenance']",https://data.colorado.gov/resource/gr9h-em6k.json,,Colorado Information Marketplace
State Lobbyist Bills in Colorado,Bills that state liasons (lobbyists) monitor. State liasons do not report positions on bills.,"['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists', 'lobby']",https://data.colorado.gov/resource/ee39-yyzh.json,,Colorado Information Marketplace
Professional Lobbyist Bills in Colorado,"This lists the lobbyist, their client, and each bill for that client, and the position (supporting, opposing etc), and the dates of the position.","['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists', 'lobby', 'legislation']",https://data.colorado.gov/resource/sche-yqzf.json,,Colorado Information Marketplace
Professional Lobbyist Clients in Colorado,"Clients associated with a lobbyist. They may or may not have associated bills, or have associated payments to a lobbyist","['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists', 'clients']",https://data.colorado.gov/resource/vp65-spyn.json,,Colorado Information Marketplace
Professional Lobbyist Disclosure Report Summary in Colorado,"For each monthly Disclosure Report, a summary of income, expenditures, and business associated with any pending legislation.","['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists', 'lobby']",https://data.colorado.gov/resource/df5p-p6jt.json,,Colorado Information Marketplace
Professional Lobbyist Expenditures in Colorado,Monthly expenditures as entered into lobbyist's monthly Disclosure Report by Lobbyist.,"['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists', 'expenditures', 'expenses']",https://data.colorado.gov/resource/synw-se9p.json,,Colorado Information Marketplace
Professional Lobbyist Income in Colorado,Monthly income received for lobbying as reported in the monthly Disclosure Reports by lobbyist.,"['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists', 'income']",https://data.colorado.gov/resource/dxfk-9ifj.json,,Colorado Information Marketplace
Professional Lobbyist Directory in Colorado,This lists all professional lobbyists and the years they were registered with CDOS.,"['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists', 'lobby']",https://data.colorado.gov/resource/yk7f-aegj.json,,Colorado Information Marketplace
Professional Lobbyist Subcontractors in Colorado,"Lobbyists may subcontract other registered lobbyists. This file lists the lobbyist, their client, the subcontracted lobbyist and their info.","['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists', 'lobby']",https://data.colorado.gov/resource/hbju-unih.json,,Colorado Information Marketplace
State Lobbyist Directory in Colorado,This lists all state liasons (lobbyists) and the years they were registered with CDOS.,"['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists']",https://data.colorado.gov/resource/aqta-5njj.json,,Colorado Information Marketplace
State Lobbyists Funds and Hours in Colorado,Hours and public funds spent on lobbying activities.,"['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists']",https://data.colorado.gov/resource/whtp-bfpe.json,,Colorado Information Marketplace
State Lobbyist Officials in Colorado,Officials that state liasons (lobbyists) identify in their report.,"['bic', 'gocodecolorado', 'colorado', 'sos', 'secretary of state', 'lobbyists']",https://data.colorado.gov/resource/tjpi-zg9t.json,,Colorado Information Marketplace
2024 Fort Collins City Employee Base Pay,"City employee base salary as of 2024-04-17. This was updated on 2024-04-17 to include compensation of Inter-Governmental Agencies (such as Poudre Fire Authority).

Starting with 2020 data, in an effort to provide greater consumable and comparable data we're moving away from reporting individual employee earnings and instead provide base salaries as assigned per position. Due to this change this dataset cannot be directly combined with previous years' earnings data. The data represents a snapshot of salaries as of 2024-01-16 rather than actual paid amounts in 2024. Personnel spending data can be found on openbook.fcgov.com

These data are for the contracted position of each employee and therefore don't account for interim roles; the City of Fort Collins pay policy states that the employees in interim roles may be making up to 6% more than the reported salary.","['2024', 'employee salary', 'base pay', 'hourly rate']",https://data.colorado.gov/resource/rgxe-nfe5.json,,Tim Campbell
2023 Fort Collins City Employee Base Pay,"City employee base salary as of 2023-12-31.

Starting with 2020 data, in an effort to provide greater consumable and comparable data we're moving away from reporting individual employee earnings and instead provide base salaries as assigned per position. Due to this change this dataset cannot be directly combined with previous years' earnings data. The data represents a snapshot of salaries as of 2023-12-31 rather than actual paid amounts in 2023. Personnel spending data can be found on openbook.fcgov.com

These data are for the contracted position of each employee and therefore don't account for interim roles; the City of Fort Collins pay policy states that the employees in interim roles may be making up to 6% more than the reported salary.","['employee salary', 'base pay', 'hourly rate', '2023']",https://data.colorado.gov/resource/yney-zfys.json,,Tim Campbell
Development Projects in Grand Junction Colorado 2020,"2020 Development Projects in Grand Junction, Colorado.","['bic', 'business', 'gocodecolorado', 'grand junction', 'grand', 'junction', 'city', 'mesa', 'county', 'western slope', 'development', 'parcels', 'projects', 'urban']",https://data.colorado.gov/resource/u98h-pi4e.json,,Colorado Information Marketplace
Development Projects in Grand Junction Colorado 2021,"2021 Development Projects in Grand Junction, Colorado.","['bic', 'business', 'gocodecolorado', 'grand junction', 'grand', 'junction', 'city', 'mesa', 'county', 'western slope', 'development', 'parcels', 'projects', 'urban']",https://data.colorado.gov/resource/dcpy-bvxg.json,,Colorado Information Marketplace
Development Projects in Grand Junction Colorado 2022,"2022 Development Projects in Grand Junction, Colorado.","['bic', 'business', 'gocodecolorado', 'grand junction', 'grand', 'junction', 'city', 'mesa', 'county', 'western slope', 'development', 'parcels', 'projects', 'urban']",https://data.colorado.gov/resource/vzyy-dwzb.json,,Colorado Information Marketplace
Development Projects in Grand Junction Colorado 2024,"2024 Development Projects in Grand Junction, Colorado.","['bic', 'business', 'gocodecolorado', 'grand junction', 'grand', 'junction', 'city', 'mesa', 'county', 'western slope', 'development', 'parcels', 'projects', 'urban']",https://data.colorado.gov/resource/i35i-dd8x.json,,Colorado Information Marketplace
Development Projects in Grand Junction Colorado 2023,"2023 Development Projects in Grand Junction, Colorado.","['bic', 'business', 'gocodecolorado', 'grand junction', 'grand', 'junction', 'city', 'mesa', 'county', 'western slope', 'development', 'parcels', 'projects', 'urban']",https://data.colorado.gov/resource/h5jd-ew98.json,,Colorado Information Marketplace
Vacant Industrial and Commercial Parcels in Grand Junction Colorado,"Vacant Parcels in Grand Junction, Colorado.","['bic', 'gocodecolorado', 'colorado', 'grand', 'junction', 'grand junction', 'mesa', 'mesa county', 'county', 'city', 'business', 'parcels', 'vacant', 'vacancy', 'property', 'acreage', 'zoning']",https://data.colorado.gov/resource/rtgb-6zh7.json,,Colorado Information Marketplace
Grocery Stores in Grand Junction Colorado - 2,"Locations of grocery stores in the Grand Junction region, Colorado.","['bic', 'grocery', 'groceries', 'stores', 'store', 'food', 'food stores', 'locations', 'grand junction', 'grand', 'junction', 'gocodecolorado', 'mesa', 'mesa county', 'city', 'business', 'food desert', 'pantry', 'bank']",https://data.colorado.gov/resource/tcd5-wfr9.json,,Colorado Information Marketplace
City of Denver Traffic Accidents,"This dataset includes motor vehicle crashes reported to the Denver Police Department, that occurred within the City and County of Denver and during the previous five calendar years plus the current year to date. The data are dynamic, which allows for additions, deletions and/or modifications at any time, resulting in more accurate information in the database. Due to continuous data entry, the number of records in subsequent extractions are subject to change. General variable descriptions can be found below within the downloadable file, Metadata.xml. For additional information, please review the Colorado Investigating Officer's Traffic Accident Reporting Manual, available online.","['bic', 'gocode']",https://data.colorado.gov/resource/cpwf-cznk.json,,Colorado Information Marketplace
EnergizeCO Small Business Resiliency Index (SBRI) 2nd Ed.,"A resilience survey instrument was created by Energize Colorado that assessed the social and operational performance of small businesses, based on key measures of business health and success found in the scientific literature. The survey was sent electronically to approximately 14,000 small business owners from Energize Colorado’s database. Data analysis included descriptive statistics and statistical tests measuring the correlation between the SBRI, demographics, and overall business performance, in order to understand predictors of small business resilience.","['bic', 'gocode', 'energizeco', 'sbri', 'business', 'economy']",https://data.colorado.gov/resource/5b9u-fuzs.json,,Colorado Information Marketplace
Annual Arrests in Colorado by Offense 1970-2022,"This datasets provides annual counts of arrests made by offense for 243 Police Agencies in Colorado.  Thirty one different offenses are tracked in this dataset, spanning 1970 to 2022.","['crime', 'arrests', 'police districts', 'annual', 'bic', 'gocode']",https://data.colorado.gov/resource/xi5f-mkzt.json,,Colorado Information Marketplace
"Colorado Art, Culture and Humanities Non-Profits","This dataset contains Non-Profits in Colorado related to Art, Culture and the Humanities. These were identified using the National Taxonomy of Exempt Entities (NTEE) code. The data contains over 2000 entries for as far back as 1922 thru present day. All of the codes in this dataset are available in the attached PDF file.","['non-profit', 'arts', 'culture', 'humanties', 'colorado']",https://data.colorado.gov/resource/i35y-dxds.json,,Colorado Information Marketplace
Denver Parcels,Parcels within the City and County of Denver as they are represented graphically.,[],https://data.colorado.gov/resource/tsdg-z9uy.json,,Colorado Information Marketplace
"Colorado County Business Patterns by Industry, for 2000-2022","Contains Colorado county economic data, including employee counts, total payroll and number of establishments by business size, by NAICS Industry Codes. Provides summaries by Industry and sub-Industry, down the the 6-digit National Industry level. The data has been compiled from the Census Bureau for 2000 thru 2022, and is updated annually.","['industry sectors', 'county', 'economic']",https://data.colorado.gov/resource/druy-a38s.json,,Colorado Information Marketplace
North American Industry Classification System - 2022,"North American Industry Classification System (NAICS) is a set of 2-6 digit codes agreed upon by the U.S., Canada and Mexico to describe various Industries and sub-Industries. NAICS was originally developed to
provide a consistent framework for the collection, analysis, and dissemination of industrial statistics
used by government policy analysts, by academics and researchers, by the business community, and
by the public. Revisions for 2022 were made to account for our rapidly changing economies.","['industry sectors', 'north america', 'bic', 'gocodecolorado', 'gocode']",https://data.colorado.gov/resource/i2mk-94p9.json,,Colorado Information Marketplace
2022 Fort Collins City Employee Base Pay,"City employee base salary as of 12-31-2022. 

Starting with 2020 data, in an effort to provide greater consumable and comparable data we're moving away from reporting individual employee earnings and instead provide base salaries as assigned per position. Due to this change this dataset cannot be directly combined with previous years' earnings data. The data represents a snapshot of salaries as of 12-31-2022 rather than actual paid amounts in 2022. Personnel spending data can be found on openbook.fcgov.com","['2022', 'employee salary', 'base pay', 'hourly rate', 'employee pay', 'pay', 'salaries']",https://data.colorado.gov/resource/dap4-c2ia.json,,Tim Campbell
Colorado State Agency Renewable Energy Use FY15 - FY21,"Colorado State agency renewable energy use, measured in kWh, for fiscal years 2015 through 2021.","['bic', 'gocodecolorado', 'gocode', 'electricity', 'renewable energy', 'fossil fuels']",https://data.colorado.gov/resource/6xzj-f3x2.json,,Colorado Information Marketplace
Colorado State Agency Natural Gas Use FY15 - FY21,Colorado State agency natural gas use measured in MMBtus and compared per square footage of facilities for fiscal years 2015 through 2021.,"['bic', 'gocode', 'gocodecolorado', 'energy', 'fossil fuels']",https://data.colorado.gov/resource/wjq6-z3tj.json,,Colorado Information Marketplace
Colorado State Agency Fuel Use FY15 - FY21,Detailed report of fuel usage by Colorado State agencies between fiscal years 2015 and 2021.,"['gocode', 'gocodecolorado', 'bic', 'ceo', 'energy', 'fuel', 'fossil fuels']",https://data.colorado.gov/resource/qugj-me4q.json,,Colorado Information Marketplace
Census in Colorado 2020,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis']",https://data.colorado.gov/resource/ekih-pydt.json,,Colorado Information Marketplace
Census Congressional Districts in Colorado 2020,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'congressional districts', 'voting', 'gis']",https://data.colorado.gov/resource/q56w-zzzm.json,,Colorado Information Marketplace
Census Zip Codes in Colorado 2020,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'zip codes', 'american community survey', 'location', 'geospatial', 'gis']",https://data.colorado.gov/resource/ucnv-vw74.json,,Colorado Information Marketplace
Census Counties in Colorado 2020,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/rt7b-823p.json,,Colorado Information Marketplace
Census Tracts in Colorado 2020,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'census tracts', 'tracts', 'gis']",https://data.colorado.gov/resource/7t53-5gfx.json,,Colorado Information Marketplace
Census Places in Colorado 2020,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'colorado', 'census', 'acs', 'american community survey', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'statistics', 'statistical area', 'combined', 'gis']",https://data.colorado.gov/resource/33q3-djk8.json,,Colorado Information Marketplace
Census Block Groups in Colorado 2020,"American Community Survey Census data includes demographics, education level, commute information, and more subset to Colorado by the Department of Local Affairs (DOLA).","['bic', 'gocodecolorado', 'covid19', 'colorado', 'census', 'acs', 'american community survey', 'counties', 'subdivisions', 'population', 'gender', 'race', 'household', 'education', 'commute', 'demographics', 'gis', '2018']",https://data.colorado.gov/resource/jwbw-xb7i.json,,Colorado Information Marketplace
EnergizeCO Small Business Resiliency Index (SBRI),"A resilience survey instrument was created by Energize Colorado that assessed the social and operational performance of small businesses, based on key measures of business health and success found in the scientific literature. The survey was sent electronically to approximately 14,000 small business owners from Energize Colorado’s database. Data analysis included descriptive statistics and statistical tests measuring the correlation between the SBRI, demographics, and overall business performance, in order to understand predictors of small business resilience.","['bic', 'gocode', 'energizeco', 'sbri', 'business', 'economy']",https://data.colorado.gov/resource/sn8z-q44h.json,,Colorado Information Marketplace
ServiceLevels_2022April,"Advertised wireline and fixed wireless service (aggregated) in Colorado based on data collected directly from Internet Service Provider (ISPs). Data is categorized into service levels defined by various download and upload speeds. Data was published in April 2022 and depicts service as of December 31, 2021","['broadband', 'internet service', 'internet']",https://data.colorado.gov/resource/5ast-k2ft.json,,Colorado Broadband Office
WiredServiceLevels_2022April,"Advertised wireline broadband service in Colorado based on data collected directly from Internet Service Provider (ISPs). Data is categorized into service levels defined by various download and upload speeds. Data was published in April 2022 and depicts service as of December 31, 2021","['broadband', 'internet', 'internet service']",https://data.colorado.gov/resource/ac27-jrhn.json,,Colorado Broadband Office
Federal Lands in Colorado,Federally owned land in Colorado.,"['bic', 'gocodecolorado', 'colorado', 'federal', 'land', 'environment', 'gis']",https://data.colorado.gov/resource/ujgg-3rdh.json,,Colorado Information Marketplace
Solar Photovoltaic Resource in Colorado,"Monthly average and annual average daily total solar resource averaged over surface cells of 0.1 degrees in both latitude and longitude, or about 10 km in size. The insolation values represent the resource available to fixed flat plate system tilted towards the equator at an angle equal to the latitude. The data are created using the SUNY Satellite Solar Radiation model (Perez, et.al., 2002).","['bic', 'gocodecolorado', 'colorado', 'nrel', 'national renewable energy laboratory', 'ghi', 'global horizontal irradiance', 'averages', 'solar', 'energy', 'renewable energy', 'environment', 'gis']",https://data.colorado.gov/resource/u56p-777a.json,,Colorado Information Marketplace
Existing Hydro Non-powered Damms in Colorado,This data set contains a list of U.S. Existing Non-powered Dams (NPD) with hydropower potential greater than 1MW. This data set consists of geo-referenced digital data and associated attributes created in Hadjerioua B. Y. Wei S.-C. Kao and B. T. Smith (2012) An Assessment of Energy Potential at Non-powered Dams in the United States Technical Manual 2011/251 Oak Ridge National Laboratory Oak Ridge TN..,"['bic', 'gocodecolorado', 'colorado', 'nrel', 'national renewable energy laboratory', 'renewable energy', 'environment', 'gis', 'hydro']",https://data.colorado.gov/resource/ytai-hin3.json,,Colorado Information Marketplace
Feasible Small Hydro Project Sites in Colorado,"Long-term hydroelectric potential is drawn directly from a GIS-based study by INL: Feasibility Assessment of the Water Energy Resources of the United States for New Low Power and Small Hydro Classes of Hydroelectric Plants, January 2006.","['bic', 'gocodecolorado', 'colorado', 'nrel', 'national renewable energy laboratory', 'renewable energy', 'environment', 'gis', 'hydro']",https://data.colorado.gov/resource/mxfq-jecf.json,,Colorado Information Marketplace
Identified Hydrothermal in Colorado,Identified hydrothermal sites from Assessment of Moderate- and High-Temperature Geothermal Resources of the United States (2008).,"['bic', 'gocodecolorado', 'colorado', 'nrel', 'national renewable energy laboratory', 'renewable energy', 'environment', 'gis', 'hydrothermal', 'hydro', 'geothermal']",https://data.colorado.gov/resource/u6xi-qwn3.json,,Colorado Information Marketplace
Geothermal Energy Resources in Colorado,"Geothermal Energy Resources in Colorado. Map does not include shallow Deep Enhanced Geothermal Systems (EGS) resources located near hydrothermal sites or USGS assessment of undiscovered hydrothermal resources. Source data for deep EGS includes temperature at depth from 3 to 10 km provided by Southern Methodist University Geothermal Laboratory (Blackwell & Richards, 2009) and analyses (for regions with temperatures ¢€°¥150°C) performed by NREL (2009)","['bic', 'gocodecolorado', 'colorado', 'nrel', 'national renewable energy laboratory', 'renewable energy', 'environment', 'gis', 'hydrothermal', 'hydro', 'geothermal']",https://data.colorado.gov/resource/xz8z-8s8e.json,,Colorado Information Marketplace
